Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/04  08:00:00,1.16460883009339,7.10214411162419,0.000000000000000E+000,5.90082207439338,0.157997298779767,0.157997298779767,0.157997298779767,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.17001751126378 
 01/04  09:00:00,1.11573667063666,6.63284058750309,0.000000000000000E+000,5.46988073866273,0.146458640925050,0.146458640925050,0.146458640925050,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13649368033892 
 01/04  10:00:00,0.965658153280985,6.26349266074951,0.000000000000000E+000,5.20706640209896,0.139421662901621,0.139421662901621,0.139421662901621,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03390140907724 
 01/04  11:00:00,0.989988406281786,7.20862694119224,0.000000000000000E+000,6.27350453029180,0.167976047603610,0.167976047603610,0.167976047603610,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.912067814159401 
 01/04  12:00:00,0.980507058028263,6.13520446801904,0.000000000000000E+000,5.30892746949711,0.142149041103646,0.142149041103646,0.142149041103646,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.803215338485326 
 01/04  13:00:00,0.954619486015020,5.64007334316893,0.000000000000000E+000,4.89906905824236,0.131174888512022,0.131174888512022,0.131174888512022,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.718331106146306 
 01/04  14:00:00,0.924537512893738,5.31143358265352,0.000000000000000E+000,4.62024617452734,0.123709274075666,0.123709274075666,0.123709274075666,0.105285332551039,2.181393011881013E-002,0.317848037359318,0.340532926510507,0.667730203537652 
 01/04  15:00:00,0.925550575834243,5.27587513425745,0.000000000000000E+000,4.63348403659754,0.124063724086587,0.124063724086587,0.124063724086587,0.110826626018020,2.296203770497546E-002,0.292642405135342,0.359707770610917,0.617613056799725 
 01/04  16:00:00,0.987060551088156,5.20312040821450,0.000000000000000E+000,4.55304456306404,0.121909919180536,0.121909919180536,0.121909919180536,0.138533299719761,2.870253287892793E-002,0.302863858133087,0.379702928897442,0.623920461654106 
 01/04  17:00:00,1.22000381327326,5.22904706880450,0.000000000000000E+000,4.51370515243262,0.120856587875679,0.120856587875679,0.120856587875679,0.232735907758947,4.822026207769880E-002,0.353721026385214,0.449122016897326,0.684404681774513 
 01/04  18:00:00,1.67291934460897,6.27069971098159,0.000000000000000E+000,5.41965142293114,0.145113727266394,0.145113727266394,0.145113727266394,0.432223917138118,8.955192139527980E-002,0.445070293491817,0.545611473038965,0.813464492321551 
 01/04  19:00:00,1.95787326832138,6.42202928520093,0.000000000000000E+000,5.44892466702041,0.145897532206505,0.145897532206505,0.145897532206505,0.642794513451249,0.133179781632900,0.398284023104866,0.592369381647454,0.932299959671604 
 01/04  20:00:00,1.87784563737383,5.21054805339819,0.000000000000000E+000,4.21689870239529,0.112909454955029,0.112909454955029,0.112909454955029,0.681583842875899,0.141216491979183,0.315346148810717,0.611441686474602,0.951530919517952 
 01/04  21:00:00,1.73689640784377,4.81384245005621,0.000000000000000E+000,3.88904736766857,0.104131080580219,0.104131080580219,0.104131080580219,0.587381166047768,0.121698762780412,0.275875148663200,0.632462237493769,0.881228675310815 
 01/04  22:00:00,1.59196531178844,4.76740518203854,0.000000000000000E+000,3.92966497024263,0.105218636078200,0.105218636078200,0.105218636078200,0.493178558008581,0.102181033581641,0.258342489697899,0.617696582143720,0.795190919281182 
 01/04  23:00:00,1.31504969301523,4.84345979454190,0.000000000000000E+000,4.14899655505564,0.111091342880855,0.111091342880855,0.111091342880855,0.371269276267653,7.692280920891813E-002,0.205881020852975,0.534537231526429,0.657642279678922 
 01/04  24:00:00,1.04308705317922,5.00769124187154,0.000000000000000E+000,4.46682226279817,0.119601276356734,0.119601276356734,0.119601276356734,0.254901287993707,5.281267817006874E-002,0.135920890493347,0.464502907886960,0.508872250140472 
 01/05  01:00:00,0.778386653323491,5.30426288177908,0.000000000000000E+000,4.92646009073984,0.131908296347545,0.131908296347545,0.131908296347545,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351336622537795 
 01/05  02:00:00,0.675484039155057,5.55072971315447,0.000000000000000E+000,5.24676610850414,0.140484641296036,0.140484641296036,0.140484641296036,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279595234933228 
 01/05  03:00:00,0.637698852269340,5.73984814091401,0.000000000000000E+000,5.45582453571616,0.146082279450554,0.146082279450554,0.146082279450554,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.259937767303561 
 01/05  04:00:00,0.627280103305120,5.80519906302328,0.000000000000000E+000,5.51585598894143,0.147689649971447,0.147689649971447,0.147689649971447,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265596274374921 
 01/05  05:00:00,0.626785117590504,5.93580647123593,0.000000000000000E+000,5.59005864706006,0.149676461198293,0.149676461198293,0.149676461198293,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.322898063006360 
 01/05  06:00:00,0.677231488389432,6.15781195993027,0.000000000000000E+000,5.55884925472562,0.148840814974218,0.148840814974218,0.148840814974218,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573464208196330 
 01/05  07:00:00,0.867739697731525,6.33992137062109,0.000000000000000E+000,5.26919801548904,0.141085266203110,0.141085266203110,0.141085266203110,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04126234930884 
 01/05  08:00:00,1.15879252896267,6.88538355680283,0.000000000000000E+000,5.68359710682408,0.152180997649047,0.152180997649047,0.152180997649047,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.17048192401173 
 01/05  09:00:00,1.11223237980080,6.50243284461500,0.000000000000000E+000,5.33900383836760,0.142954350089196,0.142954350089196,0.142954350089196,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13696283774597 
 01/05  10:00:00,0.964422243289019,6.21769319092421,0.000000000000000E+000,5.16090811319860,0.138185752909656,0.138185752909656,0.138185752909656,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03426022815231 
 01/05  11:00:00,0.983032370257417,6.94919898132607,0.000000000000000E+000,6.01371318423789,0.161020011579240,0.161020011579240,0.161020011579240,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.912431200347135 
 01/05  12:00:00,0.962188905454331,5.45145773612992,0.000000000000000E+000,4.62478818417278,0.123830888529714,0.123830888529714,0.123830888529714,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.803607891920521 
 01/05  13:00:00,0.936910885921567,4.97900080637437,0.000000000000000E+000,4.23769510346543,0.113466288418570,0.113466288418570,0.113466288418570,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.718632524128679 
